obitos;dens;total;fec;est;renda;anal;pib;des;gini;esp;mort;dep;env;extpob;pob
5;77,57;24481;3,21;6,49;122,21;40,4;3419,16;7,18;0,6738;70,52;24;84,5;3,1;55,83;73,16
8;77,78;37896;2,43;7,5;355,51;26,7;4341,91;4,33;0,8082;71,59;19,32;74,24;4,58;42,56;56,81
0;73,51;31422;3,65;6,73;150,28;42,6;3463,07;3,54;0,6433;71,77;20,6;81,67;3,9;47,99;66,11
1;73,32;10705;4,05;8,01;262,79;12,3;3967,72;1,85;0,5781;69,34;27,4;76,5;3,32;20,35;46,65
0;67,9;8444;4,44;9,54;238,53;12,4;5705,07;10,55;0,5713;72,47;18,9;78,56;4,45;25,98;51,94
19;66,49;52272;3,16;8,26;338,4;22,4;4511,97;7,81;0,6618;71,12;22,3;72,89;3,49;25,83;46,19
3;63,26;19077;4,37;6,35;193,97;45,2;4427,95;4,82;0,6021;66,61;36,6;75,79;3,33;39,66;58,07
11;65,68;61453;3,44;8,49;421,41;20,2;5684,52;6,58;0,6293;73,04;17,5;75,26;3,88;15,15;34,38
0;68,99;17079;4,33;7,3;189,15;29,3;3437,18;6;0,5448;71,74;20,7;82,88;3,27;30,93;49,59
1;76,13;11891;4,35;6,94;223,11;32,1;6579,94;1,52;0,6129;68,43;30,3;84,76;2,95;26,51;55,68
2;65,54;17094;4,37;8,87;246,99;12,5;5983,03;6,24;0,6091;70,26;24,7;80,49;4,93;31,33;49,07
0;72,31;17837;4,01;8,28;227,55;12,7;4131,86;8,71;0,5813;71,53;21,3;75,35;4,88;32,03;49,82
